Target uniprot,Name,Small molecule,Description,IUPAC name,Affected organism
P00367; P39086; P42261; P48507; Q04609; Q05329; Q99259; O95954; P42262; P42263; P48058; P54886; Q13002; Q13003; Q13255; Q14833; Q16099; Q16478; Q14831; O00222; O00341; O14841; O15067; O15382; O15399; O43424; O60391; O75879; O94925; P00505; P07814; P08243; P15104; P17174; P17735; P24298; P38435; P43003; P43004; P43005; P48506; P48664; P49448; P49915; P54687; P80404; Q05586; Q05932; Q07075; Q12879; Q13224; Q14957; Q2TU84; Q5JPH6; Q5TDP6; Q6IA69; Q6YP21; Q8N159; Q8N5Z0; Q8TCU5; Q8TD30; Q9H1K4; Q9H936; Q9UDR5; Q9UI32; Q9ULA0; Q9ULK0; Q9UPY5; Q9Y646; Q9Y617; Q8TF71; P53985,Glutamic acid,true,A peptide that is a homopolymer of glutamic acid.,(2S)-2-aminopentanedioic acid,Humans and other mammals
P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Butabarbital,true,"Butabarbital (trade name Butisol) is a barbiturate with a particularly fast onset of effects and short duration of action compared to other barbiturates. This makes butabarbital a useful drug for certain applications such as treating severe insomnia and relieving anxiety before surgical procedures. However, like other barbiturate drugs, butabarbital is associated with profound CNS depressant effects, especially when combined with alcohol, as well as the risk of drug misuse and dependence. While its clinical use is typically limited, it is still prescribed in some Eastern European and South American countries. Its short duration of action gives butabarbital a high abuse potential, comparable to [secobarbital].","5-(butan-2-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Metharbital,true,"Metharbital is a barbiturate anticonvulsant, similar to phenobarbital, marketed as Gemonil by Abbott Laboratories. It was patented in 1905 by Emil Fischer of Merck.","5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P24046; P14867; P23416; O75311; P04798; P15104; P23415,Picrotoxin,true,"A noncompetitive antagonist at GABA-A receptors and thus a convulsant. Picrotoxin blocks the gamma-aminobutyric acid-activated chloride ionophore. Although it is most often used as a research tool, it has been used as a CNS stimulant and an antidote in poisoning by CNS depressants, especially the barbiturates. [PubChem]","(1R,3R,5S,8S,13R,14S)-1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.1⁹,¹².0³,⁵.0⁵,¹³]tetradecane-6,11-dione; (1R,5S,8S,13R,14R)-1-hydroxy-13-methyl-14-(prop-1-en-2-yl)-4,7,10-trioxapentacyclo[6.4.1.1⁹,¹².0³,⁵.0⁵,¹³]tetradecane-6,11-dione",Humans and other mammals
P14867; Q9UBS5,Progabide,true,"Progabide is an analog and prodrug of gamma-aminobutyric acid. It is commonly used in the treatment of epilepsy. It has agonistic activity for both the GABAA and GABAB receptors. In clinical trials, progabide has been investigated for Parkinson's disease, schizophrenia, clinical depression and anxiety disorder; its therapeutic effectiveness in these conditions is not fully elucidated.",4-[(Z)-[(4-chlorophenyl)(5-fluoro-2-hydroxyphenyl)methylidene]amino]butanamide,Humans and other mammals
P14867; P48169; Q16445; P43681; P36544; P42262; P47869; P34903; P31644; Q13002,Amobarbital,true,"A barbiturate with hypnotic and sedative properties (but not antianxiety). Adverse effects are mainly a consequence of dose-related CNS depression and the risk of dependence with continued use is high. (From Martindale, The Extra Pharmacopoeia, 30th ed, p565)","5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",""
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P08684,Aprobarbital,true,"Aprobarbital is a barbiturate derivative synthesized in the 1920s by Ernst Preiswerk. It was determined that the substance was capable of demonstrating sedative, hypnotic, and anticonvulsant effects. A primary treatment indicated for the use of aprobarbital was subsequently insomnia. Aprobarbital was never as widely used as more common barbiturate derivatives such as phenobarbital and is now rarely prescribed.","5-(prop-2-en-1-yl)-5-(propan-2-yl)-1,3-diazinane-2,4,6-trione",""
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002,Butobarbital,true,Butobarbital is a sedative and a hypnotic drug.,"5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002,Heptabarbital,true,Heptabarbital is an intermediate or short term barbiturate used mainly for sedation and hypnosis.,"5-(cyclohept-1-en-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Prazepam,true,Prazepam is a benzodiazepine that is used in the treatment of anxiety disorders. It is a schedule IV drug in the U.S.,"7-chloro-1-(cyclopropylmethyl)-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1,Cinolazepam,true,"Cinolazepam is a benzodiazepine derivative with anxiolytic, anticonvulsant, sedative and skeletal muscle relaxant activity. It is not approved in Canada or America.","3-[7-chloro-5-(2-fluorophenyl)-3-hydroxy-2-oxo-2,3-dihydro-1H-1,4-benzodiazepin-1-yl]propanenitrile",Humans and other mammals
P07445; Q06520; P22637; P14061; O00204; P24462; Q07869; P03372; Q99720; Q92731; O75469; Q14994; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P10275,Prasterone,true,"Prasterone, also known as dehydroepiandrosterone (DHEA) is a major C19 steroid produced by the adrenal cortex. It is also produced in small quantities in the testis and the ovary. Dehydroepiandrosterone (DHEA) can be converted to testosterone; androstenedione; estradiol; and estrone. Most of DHEA is sulfated (dehydroepiandrosterone sulfate) before secretion.

In the United States, DHEA or DHEAS have been advertised with claims that they may be beneficial for a wide variety of ailments. DHEA and DHEAS are readily available in the United States, where they are marketed as over-the-counter dietary supplements. In November 2016, DHEA was approved (as Intrarosa) to treat women experiencing moderate to severe pain during sexual intercourse (dyspareunia), a symptom of vulvar and vaginal atrophy (VVA), due to menopause.

In Canada, a prescription is required to buy DHEA.","(1S,2R,5S,10R,11S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-7-en-14-one",Humans and other mammals
P08684; P33260; P33261; P25105; P14867; P47869; P34903; P18507,Etizolam,true,"Etizolam is a thienodiazepine which is chemically related to benzodiazepine (BDZ) drug class; it differs from BDZs in having a benzene ring replaced with a thiophene ring. It is an agonist at GABA-A receptors and possesses amnesic, anxiolytic, anticonvulsant, hypnotic, sedative and skeletal muscle relaxant properties. Initially introduced in 1983 in Japan as treatment for neurological conditions such as anxiety and sleep disorders, etizolam is marketed in Japan, Italy and India. It is not approved for use by FDA in the US; however it remains unscheduled in several states and is legal for research purposes.","7-(2-chlorophenyl)-4-ethyl-13-methyl-3-thia-1,8,11,12-tetraazatricyclo[8.3.0.0²,⁶]trideca-2(6),4,7,10,12-pentaene",""
P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P23415; O14788,Thiocolchicoside,true,"Thiocolchicoside is a semi-synthetic derivative of the colchicine, a natural anti-inflammatory glycoside which originates from the flower seeds of _superba gloriosa_.  It is a muscle relaxant with anti-inflammatory and analgesic effects.  It has potent convulsant activity and should not be administered to individuals prone to seizures [L1663].","N-[(10S)-3,4-dimethoxy-14-(methylsulfanyl)-13-oxo-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}tricyclo[9.5.0.0²,⁷]hexadeca-1(16),2,4,6,11,14-hexaen-10-yl]acetamide",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P15121,Brexanolone,true,"As of March 2019, brexanolone - developed and made available commercially by Sage Therapeutics Inc. as the brand name product Zulresso - is the first drug to have ever been approved by the US FDA specifically for the treatment of postpartum depression (PPD) in adult females [F4066]. Since PPD, like various other types of depression, is characterized by feelings of sadness, worthlessness or guilt, cognitive impairment, and/or possibly suicidal ideation, it is considered a life-threatening condition [F4072]. Studies have consequently found that PPD can genuinely have profound negative effects on the maternal-infant bond and later infant development [F4072, A176080, A176083]. The development and availability of brexanolone for the treatment of PPD in adult females subsequently provides a new and promising therapy where few existed before [F4066].

In particular, the use of brexanolone in treating PPD is surrounded with promise because it acts in part as a synthetic supplement for possible deficiencies in endogenous brexanolone (allopregnanolone) in postpartum women susceptible to PPD whereas many commonly used anti-depressive medications elicit actions that may modulate the presence and activity of substances like serotonin, norepinephrine, and/or monoamine oxidase but do not mediate activities directly associated with PPD like natural fluctuations in the levels of endogenous neuroactive steroids like allopregnanolone [F4063].

And finally, although brexanolone may also be undergoing clinical trials to investigate its abilities to treat super-refractory status epilepticus, it appears that some such studies have failed to meet primary endpoints that compare success in the weaning of third-line agents and resolution of potentially life-threatening status epilepticus with brexanolone vs. placebo when added to standard-of-care [L5750].","1-[(1S,3aS,3bR,5aS,7R,9aS,9bS,11aS)-7-hydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-1-yl]ethan-1-one",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928,"5,7,2′-trihydroxy-6,8-dimethoxyflavone",true,"5,7,2′-trihydroxy-6,8-dimethoxyflavone (K36) is a high-affinity, naturally occurring flavonoid derivative isolated from the medicinal herb _Scutellaria baicalensis_ Georgi [A31656].","5,7-dihydroxy-2-(2-hydroxyphenyl)-6,8-dimethoxy-4H-chromen-4-one",""
P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928; P08684,Mexazolam,true,Mexazolam (CS-386) is a benzodiazepine indicated for the treatment of anxiety with or without psychoneurotic conditions.[A184910] Mexazolam's structure is similar to that of other benzodiazepines such as [oxazolam] and [cloxazolam].[A184910] The use of benzodiazepines in the treatment of anxiety is generally a second line measure.[A184910],"13-chloro-2-(2-chlorophenyl)-5-methyl-3-oxa-6,9-diazatricyclo[8.4.0.0^{2,6}]tetradeca-1(10),8,11,13-tetraen-8-ol",""
P30536; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P08684; P20813; P11712; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Temazepam,true,"Temazepam, like many other similar and related benzodiazepines, acts as a gamma-aminobutyric acid (GABA) modulator and is capable of eliciting a variety of actions including sedation, hypnosis, skeletal muscle relaxation, anticonvulsant activity, and anxiolytic action [A175207, A175210, F3718, F3721].

Although the chemical synthesis of temazepam was established by 1965 [A175333], mainstream contemporary use of the medication did not occur until it's legitimate use as treatment for insomnia was accepted and approved later on. In particular, before temazepam saw regular prescription use in civilians it was - and still is - employed by the US military as a sedative-hypnotic medication to be taken by soldiers, pilots, etc. to obtain the necessary rest required for medical recovery or scheduled maneuvers and operations [A175339]. Regardless, temazepam has become one of the most frequently prescribed medications internationally and sees millions of prescriptions every year. Unfortunately, however, given its frequent use and the inherent nature of its pharmacological effects, temazepam - like many other benzodiazepines - possesses a high potential for misuse and is genuinely capable of developing drug tolerance, physical dependence, and addiction in users.","7-chloro-3-hydroxy-1-methyl-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P08684; P14867; P47869; P34903; P31644; P10632; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Eszopiclone,true,"Eszopiclone, marketed by Sepracor under the brand-name Lunesta, is a nonbenzodiazepine hypnotic drug used to treat insomnia. It is the active stereoisomer of zopiclone, belonging to the class of drugs known as _cyclopyrrolones_.[A179638,L6850] Cyclopyrrolone drugs demonstrate high efficacy and low toxicity[A179827], offering a safer alternative to other drugs used for insomnia.

One major benefit of eszopiclone is that it is approved by the FDA for the long-term treatment of insomnia. This sets it apart from many other hypnotic sedatives, which are generally approved only for the relief of short-term (6-8 weeks) insomnia. Eszopiclone was initially approved by the FDA in 2004.[L6769]","(5S)-6-(5-chloropyridin-2-yl)-7-oxo-5H,6H,7H-pyrrolo[3,4-b]pyrazin-5-yl 4-methylpiperazine-1-carboxylate",Humans and other mammals
P14867; P10632; P11712; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P05177; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P33261,Secobarbital,true,"Secobarbital (marketed by Eli Lilly and Company under the brand names Seconal and Tuinal) is a barbiturate derivative drug with anaesthetic, anticonvulsant, sedative and hypnotic properties. It is commonly known as quinalbarbitone in the United Kingdom.","5-(pentan-2-yl)-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P08684; P05177; P47869; P34903; P11712; P33261; P10635; P18507,Zolpidem,true,"Zolpidem, also known as _Ambien_, is a hypnotic drug that was initially approved by the FDA in 1992 [FDA label].  Zolpidem improves sleep in patients with insomnia. It is aimed for use in patients with difficulties initiating sleep. This drug decreases the time to fall asleep (sleep latency), increases the duration of sleep, and decreases the number of awakenings during sleep in patients with temporary (transient) insomnia.  It is available in both immediate acting and extended release forms [FDA label], [F3802]. 

Its tolerability profile is favorable when administered according to the manufacturer’s instructions, with a low risk of drug withdrawal, drug dependence, and drug tolerance [A175426]. In addition, zolpidem improves sleep quality in patients suffering from chronic insomnia and can show mild muscle relaxant properties [L5584]. Research also shows that zolpidem is rapid and effective in restoring brain function for patients in a vegetative state following brain injury. This drug has the propensity to completely or partially reverse the abnormal metabolism of damaged brain cells after injury [L5584], [A175444].","N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide",Humans and other mammals
P30536; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Clorazepic acid,true,A water-soluble benzodiazepine derivative effective in the treatment of anxiety. It has also muscle relaxant and anticonvulsant actions.,"7-chloro-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepine-3-carboxylic acid",Humans and other mammals
P41594; Q7Z2H8; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391,Acamprosate,true,"Acamprosate, also known by the brand name Campral&trade;, is a drug used for treating alcohol dependence. Acamprosate is thought to stabilize the chemical balance in the brain that would otherwise be disrupted by alcoholism, possibly by blocking glutaminergic N-methyl-D-aspartate receptors, while gamma-aminobutyric acid type A receptors are activated. Reports indicate that acamprosate only works with a combination of attending support groups and abstinence from alcohol. Certain serious side effects include allergic reactions, irregular heartbeats, and low or high blood pressure, while less serious side effects include headaches, insomnia, and impotence. Acamprosate should not be taken by people with kidney problems or allergies to the drug.",3-acetamidopropane-1-sulfonic acid,Humans and other mammals
P30536; P14867; P47869; P34903; P08684; P02768; P11712; P33261; P20815; P24462; P31644; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P08183; P20813; P23219; P33260; P10632; P05181; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Diazepam,true,"A benzodiazepine with anticonvulsant, anxiolytic, sedative, muscle relaxant, and amnesic properties and a long duration of action. Its actions are mediated by enhancement of gamma-aminobutyric acid activity. It is used in the treatment of severe anxiety disorders, as a hypnotic in the short-term management of insomnia, as a sedative and premedicant, as an anticonvulsant, and in the management of alcohol withdrawal syndrome. (From Martindale, The Extra Pharmacopoeia, 30th ed, p589)

Given diazepam's storied history as a commonly used and effective medication for a variety of indications, contemporary advancements in the formulation and administration of the agent include the development and US FDA approval of an auto-injectable formulation for the rapid treatment of uncontrolled seizures in 2015-2016 [L5200]. Combining diazepam, a proven effective therapy for acute repetitive seizures, with an auto-injector designed for subcutaneous administration that is quickly and easily administered offers the potential for complete, consistent drug absorption and rapid onset of effect [L5200]. This current development is subsequently an important addition to the rescue therapy tool chest for patients with epilepsy [L5200].","7-chloro-1-methyl-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P18507; P31644; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Flumazenil,true,"Fumazenil is an imidazobenzodiazepine derivative and a potent benzodiazepine receptor antagonist that competitively inhibits the activity at the benzodiazepine recognition site on the GABA/benzodiazepine receptor complex, thereby reversing the effects of benzodiazepine on the central nervous system.","ethyl 12-fluoro-8-methyl-9-oxo-2,4,8-triazatricyclo[8.4.0.0²,⁶]tetradeca-1(10),3,5,11,13-pentaene-5-carboxylate",Humans and other mammals
P33261; P10635; P08684; P05177; P11712; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P00338; P07195,Stiripentol,true,"Stiripentol is an anticonvulsant drug used in the treatment of epilepsy as an adjunct therapy along with [DB00349] and [DB00313].  This drug is currently approved in the USA, Canada, and European countries as oral tablets marketed as Diacomit.   FDA approval of this drug was granted on August 20, 2018 [L4352], [F1240]. Unrelated to other anticonvulsants, stiripentol belongs to the group of aromatic allylic alcohols and may potentiate the effect of other antiepileptic drugs (AEDs) due to pharmacokinetic interactions. It elevates the levels of gamma-aminobutyric acid (GABA), a major inhibitory neurotransmitter that regulates electrical activity in the central nervous system.","(1E)-1-(2H-1,3-benzodioxol-5-yl)-4,4-dimethylpent-1-en-3-ol",""
P98194; P23415; P48167; P42261; Q09470; P30049; O15554; P05181; P02768; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Enflurane,true,An extremely stable inhalation anesthetic that allows rapid adjustments of anesthesia depth with little change in pulse or respiratory rate.,"2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Butalbital,true,"Butalbital, or 5-allyl-5-isobutylbarbituric acid, is a derivative of barbituric acid which the hydrogens at position 5 are substituted by an allyl group and an isobutyl group. It is a short-to-intermediate acting member of barbiturates that exhibit muscle-relaxing and anti-anxiety properties that produce central nervous system (CNS) depression that ranges from mild sedation to general anesthesia.[A177754] Butalbital has a low degree of selectivity and a narrow therapeutic index.[A177754] Typically indicated to manage tension (or muscle contraction) headaches, butalbital is often combined with one or more therapeutic agents, such as acetylsalicylic acid, acetaminophen, aspirin, and caffeine. There have not been clinical trials that evaluate the clinical efficacy of butalbital in migraines [A177754] thus it is not indicated for such condition. As with other barbiturates, butalbital carries a risk of abuse or misuse potential, intoxication, hangover, tolerance, dependence, and overdosage possibly leading to death.[L10370] Butalbital‐containing analgesics can also produce a drug‐induced headache in addition to tolerance and dependence. Due to these risks, the use of butalbital-containing combination products is typically limited for use only in cases where other medications are deemed ineffective and such usage is advised to be carefully monitored.[A177754]","5-(2-methylpropyl)-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P18089; P11166; P15538; P19099; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Etomidate,true,"Imidazole derivative anesthetic and hypnotic with little effect on blood gases, ventilation, or the cardiovascular system. It has been proposed as an induction anesthetic.",ethyl 1-[(1R)-1-phenylethyl]-1H-imidazole-5-carboxylate,Humans and other mammals
P33261; P14867; P47870; P18507; P31644; P34903,Carisoprodol,true,"Originally approved by the FDA in 1959 [FDA label], carisoprodol is a centrally acting muscle relaxant used in painful musculoskeletal conditions in conjunction with physical therapy and other medications [A176047].  This drug is available by itself in an oral tablet or combined with aspirin, or in a fixed-dose combination with both aspirin and codeine [FDA label, F4060, F4069].

In January 2012, this drug was classified as a Schedule IV substance under the controlled substances act in several US states due to alarming rates of abuse [A176062, A176077] despite having a low potential for abuse in addition to a low risk of dependence [L5074].",2-[(carbamoyloxy)methyl]-2-methylpentyl N-(propan-2-yl)carbamate,Humans and other mammals
P14867; P33261,Methohexital,true,An intravenous anesthetic with a short duration of action that may be used for induction of anesthesia.,"5-(hex-3-yn-2-yl)-1-methyl-5-(prop-2-en-1-yl)-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Methyprylon,true,"Methyprylon is a sedative of the piperidinedione derivative family that was previously used for the treatment of insomnia. However, with the introduction of newer drugs with fewer side effects, such as benzodiazepines, the clinical use of methyprylon is now limited. Methyprylon was withdrawn from the U.S. market in June 1965 and the Canadian market in September 1990 due to adverse events.","3,3-diethyl-5-methylpiperidine-2,4-dione",Humans and other mammals
P14867; Q15842; Q14654; P11712; P08684; P05181,Thiamylal,true,"A barbiturate that is administered intravenously for the production of complete anesthesia of short duration, for the induction of general anesthesia, or for inducing a hypnotic state. (From Martindale, The Extra Pharmacopoeia, 30th ed, p919)","5-(pentan-2-yl)-5-(prop-2-en-1-yl)-2-sulfanylidene-1,3-diazinane-4,6-dione",Humans and other mammals
P14867; P11712; P33261; P23219; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002,Hexobarbital,true,A barbiturate that is effective as a hypnotic and sedative.,"5-(cyclohex-1-en-1-yl)-1,5-dimethyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
