Target uniprot,Name,Small molecule,Description,IUPAC name,Affected organism,Approved
Q15822; P08172; P06276,Doxacurium,true,"Doxacurium chloride is a long-acting, nondepolarizing skeletal muscle relaxant for intravenous administration.","6,7,8-trimethoxy-2-methyl-2-(3-{[4-oxo-4-(3-{6,7,8-trimethoxy-2-methyl-1-[(3,4,5-trimethoxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinolin-2-ium-2-yl}propoxy)butanoyl]oxy}propyl)-1-[(3,4,5-trimethoxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinolin-2-ium",Humans and other mammals,true
Q15822; P22303; P46098; O15245; O15244; P36544; P06276,Tubocurarine,true,A neuromuscular blocker and active ingredient in curare; plant based alkaloid of Menispermaceae.,"(1S,16R)-9,21-dihydroxy-10,25-dimethoxy-15,15,30-trimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2³,⁶.1⁸,¹².1¹⁸,²².0²⁷,³¹.0¹⁶,³⁴]hexatriaconta-3,5,8(34),9,11,18(33),19,21,24,26,31,35-dodecaen-15-ium",Humans and other mammals,true
Q15822; P08172,Metocurine,true,"Dimethyltubocurarinium (INN) or metocurine (USAN), also known as dimethyltubocurarine, is a non-depolarizing muscle relaxant. Patients on chronic anticonvulsant drugs are relatively resistant to metocurine. [A2393]","(1S,16R)-9,10,21,25-tetramethoxy-15,15,30,30-tetramethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2^{3,6}.1^{8,12}.1^{18,22}.0^{27,31}.0^{16,34}]hexatriaconta-3,5,8(34),9,11,18(33),19,21,24,26,31,35-dodecaene-15,30-diium","",true
Q15822; P17787; P36544; P43681; Q9GZZ6; Q9UGM1,RPI-78M,true,"RPI-78M is being developed for the treatment of multiple sclerosis (MS). Other neurological disorders that may be served by RPI-78M include myasthenia gravis (MG), muscular dystrophy (MD) and amyotrophic lateral sclerosis (ALS).",,"",false
Q15822,Cisatracurium,true,"Cisatracurium is a nondepolarizing skeletal muscle relaxant for intravenous administration. Cisatracurium acts on cholinergic receptors, blocking neuromuscular transmission. This action is antagonized by acetylcholinesterase inhibitors such as neostigmine. The neuromuscular block produced by cisatracurium besylate is readily antagonized by anticholinesterase agents once recovery has started. As with other nondepolarizing neuromuscular blocking agents, the more profound the neuromuscular block at the time of reversal, the longer the time required for recovery of neuromuscular function. Compared to other neuromuscular blocking agents, it is intermediate in its onset and duration of action.","(1R,2R)-1-[(3,4-dimethoxyphenyl)methyl]-2-(3-{[5-({3-[(1R,2R)-1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium-2-yl]propanoyl}oxy)pentyl]oxy}-3-oxopropyl)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-2-ium",Humans and other mammals,true
P14867; Q8TCU5; P23415; P23416; P05181; P04798; P05177; P20813; P33261; P11712; P08684; Q02928; P07327; P00325; P00326; P11766; Q02641; P46098; P08319; P47869; Q9GZZ6; Q13936; P31644; P48169; P40394; P34903; P42261; Q06432; Q15822; Q16445; P42262; P48058; P42263; P43681; P17787; P48549; P48051; P19320; Q99808; P48544; P36544; Q9UGM1; P18505; P28472; P47870; Q13698; Q01668; P28332; P30926; P32297; P30532; Q15825; Q05901; Q8N1C3; Q99928; P78334; O00591; Q9UN88; O14764; P14550; Q14542; A5X5Y0; O95264; Q70Z44; Q8WXA8; Q9Y698; Q92806; P32004,Ethanol,true,"A clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages.",ethanol,Humans and other mammals,true
Q15822; P36544; P43681; P17787,Mecamylamine,true,"A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool.","N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine",Humans and other mammals,true
Q9Y5Y9; Q8TCU5; P46098; Q01959; Q15822; P06276; ; Q12791; Q16558; Q9Y691; Q9NPA1; Q86W47; O15554; Q92952; Q9H2S1; Q9UGI6; P47712; Q86U10; P21397; P27338,Procaine,true,"A local anesthetic of the ester type that has a slow onset and a short duration of action. It is mainly used for infiltration anesthesia, peripheral nerve block, and spinal block. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1016). Procaine has also been investigated as an oral entry inhibitor in treatment-experienced HIV patients [L1215].",2-(diethylamino)ethyl 4-aminobenzoate,Humans and other mammals,true
Q15822; P22303; P06276; P43681; P17787,Decamethonium,true,Decamethonium is used in anesthesia to cause paralysis. It is a short acting depolarizing muscle relaxant. It is similar to acetylcholine and acts as a partial agonist of the nicotinic acetylcholine receptor.,trimethyl[10-(trimethylazaniumyl)decyl]azanium,Humans and other mammals,true
Q15822; P08172; P20309; P06276,Pipecuronium,true,Pipecuronium is a piperazinyl androstane derivative which is a non-depolarizing neuromuscular blocking agent.,"4-[(1S,2S,4S,5S,7S,10R,11S,13S,14R,15S)-5,14-bis(acetyloxy)-13-(4,4-dimethylpiperazin-4-ium-1-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-4-yl]-1,1-dimethylpiperazin-1-ium",Humans and other mammals,true
