epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
TF,499314810,-1.1117,-0.1746,0.2692,-1.1036,-0.5414,0,-0.6686,-1.0725,-0.5688,-2.481,1.1885,0.2421,0,-0.6516,-1.1985,-0.425,0.288,-0.4173,-0.2695,-0.9054,0.081,-0.2466,-0.1158,-0.1251,-0.3936,-0.6558,-0.3757,-1.019,-0.1362,-1.1812,-0.6377,-0.6247,-0.6287,-0.091,-0.3655
LGI2,499316139,1.9064,0.0823,0.0928,0.8543,-0.664,0.6131,0.7195,-0.0716,0.2232,-0.4467,-0.7922,2.3167,0.9889,2.0766,0.9243,-0.0634,0.1079,0.7884,-0.1206,-0.0866,-0.109,0.9703,0.167,-0.4105,0.6332,0.8269,1.601,0.1514,0.5842,0.7074,-0.0069,0.6742,0.4389,0.4882,0.8327
SLC1A2,499332594,-0.0155,0.6084,0.738,0.719,0.6728,-0.3293,-0.3928,2.2102,0.8098,0.674,-0.7404,0.4218,0.0626,0.2493,0.4463,0.0896,0.806,1.0079,0.8508,0.6646,0.1899,0.2929,0.7446,-0.1616,-0.0718,1.2323,0.9095,1.1243,0.0584,-0.5136,0.0321,1.155,-0.4117,1.2055,0.7432
DCX,499353886,0.9713,0.9463,0.911,0.4601,0.2355,-0.5752,0.9872,-0.4283,1.0386,1.1623,-0.3877,0.9392,2.14,-0.2479,1.1557,0.4036,0.6302,1.2155,1.2264,1.1622,-0.1418,0.6639,0.7647,0.9689,0.4175,1.0173,1.1627,0.6283,0.8182,0.1507,1.0201,0.7009,0.8777,0.0583,0.7755
KCNQ3,499327431,0.4393,0.5145,0.3663,0.6279,0.2151,0.4989,0.6629,0.6909,0.3135,0.3798,-0.385,0.5776,0.5669,0.7036,0.5082,0.1591,0.5968,0.3814,0.4506,0.6821,-0.1166,0.4105,0.4036,0.6094,0.5027,0.3464,0.6043,0.3639,-0.2015,0.2204,0.6128,0.586,0.3447,-0.1346,0.1126
GRIK1,499351035,0.1976,-0.0241,-0.0542,0.8346,-0.1624,-1.0809,-0.0791,-0.3038,0.2656,0.8094,-1.67,1.1637,1.1984,0.2483,0.3291,0.3461,-0.3772,0.2604,0.1827,0.9959,-0.7708,0.7241,-0.3179,-0.2735,0.763,0.7557,1.0782,-0.1545,-0.0592,-1.0872,-0.3424,-0.0156,0.5523,-0.3609,0.4081
ARHGEF9,499353348,0.1107,0.2303,-0.0691,0.7316,-0.0996,0.0982,0.2815,0.0388,0.0815,0.4099,-0.9312,0.6194,0.6534,0.2179,0.6654,-0.0326,0.1723,0.0998,0.2025,0.3601,-0.2799,0.5654,0.2221,0.2511,0.099,0.0098,0.469,0.0521,-0.3269,0.1343,0.244,0.4916,0.3045,-0.0702,-0.0595
VIP,499322777,0.0634,0.0731,0.5294,1.0281,0.1594,-0.9048,0.3228,-1.3255,-0.5388,1.802,0,1.5035,1.4587,0.5046,0.8329,0.1493,-1.252,1.3016,-0.043,0.5932,-0.1426,1.3913,-0.3888,-0.2226,0.4863,0.4181,1.4123,0.1405,0.7066,-0.2997,-0.2139,0.0742,0.6403,0.2284,1.1086
CHRNB2,499307542,0.3428,0.4635,0.2173,0.278,0.1265,0.4176,-0.0146,1.0949,0.3521,0.2693,-0.7539,0.4733,0.0576,0.2357,0.3801,0.1814,0.7061,0.5968,0.2157,0.1602,-0.5871,0.2005,0.5957,0.1835,0.2793,0.3915,0.6884,-0.0541,-0.0496,0.0216,0.0276,0.8099,0.3587,-0.2336,0.1818
NOS1,499336673,-0.1472,0.33,-1.1254,-0.4818,-1.0984,-1.2919,-0.9209,-0.923,0.3993,-1.0987,-0.2565,0.8333,-0.9494,-0.0166,-1.0625,-0.5486,0.2251,0.2497,-0.0933,-0.7766,-1.1757,-0.3426,-1.4925,-0.6298,0.9727,0.1843,-0.2971,-1.1574,-1.3481,-1.4832,-1.62,-0.1005,0.5756,-0.9553,-0.1307
TSC1,499329555,-0.1787,-0.3758,0.9947,2.7647,-0.5633,0.7042,0.5371,-1.0811,1.1111,0.4321,1.0368,1.1707,0.8249,1.5309,1.0422,0.2448,0.2298,0.7518,0.8085,-0.3399,0.5685,0.9246,0.242,0.9579,-0.2637,1.8233,0.6516,-0.2312,-0.2113,0.8137,1.2469,0.9884,0.0898,1.049,0.3752
GRM3,499324363,-0.7856,0.2874,-0.2059,0.1094,-0.5324,-2.0509,-0.5092,-0.2362,-0.0967,-0.1707,0.7657,0.8592,-1.1598,-0.5135,-0.7821,-0.1944,0.1419,-0.0901,-0.0596,-0.566,0.7514,-0.3892,-0.0112,-0.6076,-0.6484,-0.3524,0.584,-0.2058,-0.2106,-0.86,-0.4895,-0.0933,-0.4313,0.4621,-0.1996
LGI3,499326069,-0.2112,0.2806,0.8918,0.5809,-0.0794,0.2323,0.1963,0.7151,-0.126,0.0852,1.1867,-0.1837,0.2009,0.3014,0.2413,0.2684,1.1104,0.228,0.4822,-1.0898,0.5955,-0.0737,0.6382,0.5601,0.8233,0.0304,0.3087,-0.6312,0.0253,0.7586,0.312,0.8582,0.0899,0.185,-0.0069
GRIA3,499354037,0.291,0.2492,0.0387,0.5768,-0.0743,0.0717,0.1721,0.2208,0.4256,0.4455,-0.9846,0.4688,0.671,0.1024,0.4432,0.4985,0.3303,0.2497,0.4859,0.0812,-0.5021,0.286,0.4144,0.3305,0.0524,0.3199,0.5665,0.0833,-0.1989,0.034,0.1419,0.3275,0.4654,-0.4576,-0.0933
OPRM1,499322792,0.3325,0.8905,-0.0621,1.4053,0.8131,0.8637,0.8311,0.3178,0.863,1.2044,0.5137,0.5346,0.665,1.1727,0.9986,0.9549,1.1053,0.5197,0.1602,0.4278,0.9402,0.6948,0.511,1.0173,0.4991,0.6974,0.0621,0.4833,0.7574,1.3573,1.188,0.4828,1.0829,0.0343,-0.1306
ATP6AP2,499352976,-0.408,-0.0645,-0.152,1.8017,-0.856,-0.7619,0.4691,0.1853,-0.0654,0.0679,-1.5758,1.5065,0.7893,0.6729,0.5721,-0.3847,0.9457,-0.5164,0.3826,0.0289,-0.4983,1.5489,0.4621,0.1165,-0.5828,-0.3914,1.1176,-0.4221,-0.6761,-0.6837,-0.3493,0.0984,0.3309,0.1406,0.0707
GABRB2,499320010,0.7059,0.5587,0.3748,0.7157,0.1498,0.5699,0.6014,0.0507,0.3508,0.8141,-0.747,0.7191,1.0646,0.6079,0.8314,0.4247,0.4426,0.538,0.5493,0.5828,-0.2321,0.8452,0.6416,0.5929,0.2505,0.2464,0.882,0.3287,0.2805,0.504,0.6329,0.5049,0.5847,0.2267,0.3714
GRIK2,499322119,0.1923,0.8158,-0.2601,0.4283,0.0714,0.0459,0.3104,0.0985,0.8737,0.8025,-0.8207,0.3135,0.2202,0.0468,0.3889,0.2466,0.4123,0.2019,0.3853,0.9773,-0.3185,0.1815,-0.1216,0.2596,0.1722,0.7679,0.3211,0.7465,0.184,-0.1194,-0.1872,0.8187,0.4604,-0.57,0.5116
