epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
TF,499314810,-0.786,-0.1655,-1.0219,-0.1941,-0.7639,-0.3417,-1.284,-0.7786,0.1335,-0.0911,-0.3361,0.1004,-0.8007,-1.5759,0.4549,-1.5482,-0.5074,0.0739,-0.0628,-1.0793,-0.714,-0.2021,-0.8292,-0.1982,-0.4237,0.1611,-0.9105,-0.6426,-0.5478,-0.6452,-0.8949,0.2343,-0.2251,0.1782,0.2542,-1.498,-1.5968,-2.4178,-0.4645,0.7395,-0.7625,-1.4675,0.0582,-0.3651,-0.3694,-0.7289,-0.4204,-0.7911
LGI2,499316139,0.8811,0.5085,1.7471,-0.2098,0.7379,0.8523,-0.062,0.8538,0.9096,-0.2918,0.449,-1.0888,2.1107,0.7553,0.7731,-0.7264,0.8995,0.7665,0.7755,-0.0521,0.6856,0.2479,0.6951,1.1335,0.5582,0.8032,0.0206,0.2161,0.0275,0.4948,0.7149,0.7558,0.6941,0.5636,0.2323,1.3018,1.1759,0.8991,0.4136,-0.7449,0.5532,-0.0232,0.4627,1.4221,0.816,0.1293,0.4938,-0.1814
SLC1A2,499332594,0.5124,0.6434,0.4295,0.2002,0.4367,-0.3641,1.5133,0.9116,0.0833,0.949,0.5617,0.9031,0.2935,0.8989,0.2079,0.4129,0.9473,0.3082,0.0788,0.5134,0.147,0.5455,0.7817,0.6216,1.051,0.6764,0.4751,0.408,0.8216,0.6664,0.3518,0.825,-0.1693,0.11,0.7582,1.3616,0.8325,0.2653,1.6523,0.36,0.1713,0.2323,0.932,0.6912,0.643,0.4234,0.3634,0.2482
DCX,499353886,1.2128,0.1191,1.7338,-0.1916,0.0894,0.9517,0.8497,1.0376,0.9005,0.2987,0.4213,0.3056,0.2167,1.0263,0.4873,0.9765,0.8312,0.4566,0.8261,1.1081,1.0101,0.5992,1.0939,0.6349,0.4549,0.5226,0.079,0.4097,1.152,0.5538,0.7852,0.5423,0.7067,0.0976,0.4149,1.3444,0.6764,0.4182,0.6282,-0.1508,1.4247,0.4922,0.8799,0.4073,0.7617,0.755,0.6923,0.7859
KCNQ3,499327431,0.7146,1.1088,0.598,-0.0182,0.2945,0.3929,0.6122,0.6409,0.6973,-0.0049,0.6008,-0.1953,0.6987,0.7212,0.1735,0.1777,0.447,0.2554,0.786,0.9133,0.515,-0.2492,0.1168,0.9335,0.063,0.5113,-0.0325,-0.1997,0.6467,0.5002,0.8071,0.3778,0.4712,0.0265,-0.2552,0.5447,0.8701,0.8116,0.2794,-0.0741,0.8805,0.4856,0.6754,0.407,0.3145,0.406,0.3957,0.4066
GRIK1,499351035,0.9136,0.1163,-0.0214,0.0559,-0.1022,0.4145,0.5572,0.2774,0.5593,0.2874,-0.2796,0.0433,0.0433,0.7686,-0.0925,-0.2542,0.4757,-0.6018,-0.0553,0.0794,0.3069,-0.1513,-0.2862,0.3712,0.2949,0.5369,0.4173,-0.1013,0.808,-0.2659,-0.0234,0.4048,0.4531,0.0364,-0.363,0.9739,0.1768,-0.8385,0.1558,0.0192,0.4058,0.3082,-0.4971,-0.1057,1.0796,0.044,0.1736,0.1585
ARHGEF9,499353348,0.6233,0.2549,0.5784,-0.1482,0.0232,0.1651,0.3793,0.2565,0.3998,-0.0688,0.156,-0.4538,0.503,0.5856,-0.0624,0.0069,0.3085,-0.0163,0.3386,0.9107,0.2719,-0.4636,0.1387,0.4454,0.0143,-0.0631,-0.0513,-0.3199,0.2282,0.3039,0.4818,0.0792,-0.0366,-0.7258,-0.3101,0.5037,0.4719,0.5426,0.1668,-0.1463,0.4824,0.3676,0.3201,0.0162,0.0513,0.2453,0.0415,0.4979
VIP,499322777,0.7006,-0.471,1.0483,-0.0442,-0.4963,0.6846,0.3337,0.5515,1.0038,0.3502,-0.2097,0.5458,0.4647,1.1099,0.1662,-1.0516,0.6948,0.0857,0.7816,0.3191,0.5447,-0.2785,0.892,-0.0407,0.3574,0.3333,0.4847,0.5918,0.7648,-0.0367,0.4897,0.0897,0.3829,-2.312,0.9948,0.8869,0.5137,0.2441,0.6294,-0.0468,0.8407,0.0222,-0.0106,-0.2281,0.5952,0.53,0.5537,0.8055
CHRNB2,499307542,0.2748,0.7299,0.9121,-0.2455,0.122,0.379,0.3014,0.2917,0.4484,-0.1294,-0.0041,0.133,0.2819,0.0758,0.2057,0.5142,0.2993,-0.0104,0.3545,0.6753,0.2145,-0.5282,0.2389,0.4484,0.3944,0.0563,0.5398,0.3387,0.3338,0.5375,0.1889,0.4322,-0.4655,-0.5096,-0.0816,0.8968,0.856,0.0751,0.1942,-0.2888,0.2979,0.1118,0.8023,0.0132,0.3834,0.3934,0.0146,0.0082
NOS1,499336673,-0.5324,-0.0466,-0.7644,0.5748,0.1037,-0.3479,-0.9536,-0.8396,-1.02,0.3089,-1.2253,-1.7179,0.4706,-1.2718,-0.4371,0.5265,-0.5428,-0.7433,-0.2265,-0.628,-0.8508,-0.5423,-0.9688,-0.0697,-0.1501,0.1387,-1.1214,-0.7809,-0.2792,-1.1973,-0.6529,-0.0429,0.0616,0.0011,-0.9675,-0.4754,-0.7488,-1.6095,-0.9215,-0.1431,-0.8254,-0.0238,-0.8967,-0.3699,-0.2971,-0.4973,-0.163,-0.6585
TSC1,499329555,0.2581,1.0226,0.945,0.1519,1.472,-0.8738,-0.0648,0.4845,0.657,0.5891,0.7578,0.0302,1.3436,0.8889,0.675,0.6937,-0.4363,0.2142,1.3285,0.8106,1.4359,-0.0529,1.4185,-0.8099,0.4983,0.8106,-0.163,-0.3503,0.8135,1.5177,1.2676,1.0971,-1.2689,-0.3408,-0.0964,0.7242,0.8403,0.538,0.5145,0.7931,1.643,0.1897,0.7705,0.2403,0.5051,0.3492,1.1624,0.6395
GRM3,499324363,-0.3638,-0.3838,-0.6039,0.1488,-0.4731,-0.6261,-0.3134,0.0133,0.1854,-0.2934,-0.5752,0.3597,-0.4662,-1.0949,0.6928,-0.5154,-0.3885,-0.2927,-0.19,-0.4303,-0.196,-0.154,-0.5551,-0.1305,0.2074,-0.0192,-0.4006,-0.429,-0.1632,-0.2356,-0.4889,0.581,-1.3739,-0.1544,-0.2466,-0.3221,-0.3195,-1.6438,0.7285,1.3287,-0.4451,-1.5291,0.3689,-0.8966,0.1332,-0.4022,-0.2671,-0.2936
LGI3,499326069,0.888,0.0572,0.5784,0.4033,0.081,0.413,0.2316,0.2003,0.4933,-0.3261,0.162,0.5589,0.4062,-0.286,0.4497,0.8693,-0.2162,0.222,0.9093,0.5327,0.3563,-0.0529,0.0177,0.496,-0.0975,0.1013,0.4824,0.0828,0.0523,0.3819,0.7069,0.5766,-0.1815,0.4195,0.2704,0.7521,0.2319,-0.1065,0.0396,0.1385,0.2421,0.4856,1.0085,-0.2694,0.4037,0.2357,0.1168,0.2808
GRIA3,499354037,0.5127,0.861,0.5202,0.0469,-0.2786,0.154,0.3346,0.5033,0.4236,-0.2347,0.2693,-0.1186,0.5528,0.5328,-0.0375,-0.0858,0.3357,0.122,0.3306,0.5461,0.3577,-0.3727,0.2975,0.4766,0.1352,0.182,-0.0368,-0.2432,0.6138,0.3714,0.5241,-0.004,-0.285,-0.5661,-0.3465,0.7019,0.5254,0.455,0.365,0.0708,0.5536,-0.0972,0.5142,0.0902,0.327,0.3426,-0.1071,0.143
OPRM1,499322792,1.2524,0.7925,0.9402,0.8703,0.8723,0.6608,0.3957,0.8602,0.9296,-0.0706,0.7266,0.5152,1.277,0.9244,0.495,0.5718,0.6582,0.3452,0.4851,1.4801,1.0907,0.348,0.5273,0.8757,0.452,0.7511,0.3329,-0.2959,0.8762,1.0356,1.5436,0.4334,-0.0435,0.371,0.6037,0.4437,0.8377,1.1596,0.6058,0.1996,1.4566,0.8248,0.6322,0.9967,0.3099,1.0192,0.7686,0.633
ATP6AP2,499352976,0.5718,0.858,0.5901,-0.5897,-0.0003,0.0985,0.129,0.5579,0.5108,0.0833,-0.1811,-1.0214,1.0884,0.8824,0.2616,-2.0388,0.6531,0.0392,0.338,0.3018,0.0726,-0.3902,-0.2271,1.348,-0.015,0.3217,-0.6594,-0.6405,0.4716,0.3631,0.8813,-0.208,0.3066,-0.478,0.872,-0.3122,0.9952,0.0516,-0.259,0.3029,0.4859,0.4216,0.1611,-1.5874,0.4841,0.6151,0.1907,0.7115
GABRB2,499320010,0.9386,0.4631,0.9192,0.1259,0.191,0.4804,0.5277,0.7054,0.6565,0.1956,0.5821,0.1726,0.7998,0.6932,0.2599,0.3537,0.6291,0.4641,0.8194,0.7372,0.5954,0.0103,0.5868,0.6808,0.4097,0.3418,0.2882,0.2833,0.511,0.5906,0.8082,0.3304,0.5483,0.0124,0.01,0.695,0.7539,0.7398,0.4469,0.0595,0.93,0.5128,0.4956,0.035,0.5462,0.517,0.4482,0.9177
GRIK2,499322119,0.5692,0.1459,0.1461,-0.4877,0.038,0.5139,0.811,0.8053,0.731,0.1015,-0.2789,0.3904,-0.2247,0.7568,-0.2145,0.4516,0.3198,-0.5247,0.0228,0.2541,0.2899,0.3102,0.1205,0.1573,0.4024,0.4403,0.4449,0.2815,0.7442,-0.1539,0.0126,0.3105,0.4414,-0.4177,0.2435,0.9505,0.0999,-0.172,0.6529,0.3831,0.3134,-0.0334,0.3119,0.5123,0.7563,0.3228,-0.0261,-0.3818
