epilepsy genes,gene id ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
SLC1A2,499332594,0.1491,0.7103,-0.4589,0.9411,0.6386,0.7343,0.6906,-0.5721,-1.9292,1.6188,0.8577,1.4784,0.6423,0.721,0.5539,-0.4254,0.0966,-0.0061,0.4121,-1.1514,0.6644,1.2601,0.79,0.8943,0.4989,0.5328,0.5902,0.7215,0.8686,0.4641,0.0408,0.6223,0.5458,1.1409,-0.3843
SLC1A3,499318380,0.9621,-0.2455,-1.3269,0.7402,0.2441,1.3426,0.134,-0.4278,-3.3406,2.1333,0.2948,2.1072,1.0803,-0.3043,0.3879,-2.3975,0.6555,-0.0816,0.5863,-2.1251,0.3235,1.311,0.8835,0.6955,0.1999,-0.5436,0.9419,0.7166,0.2858,0.0328,0.7318,0.2766,-0.1713,0.2536,0.5132
GRIK1,499351035,0.0862,0.0056,-0.1497,-0.1901,0.8539,0.7311,1.1654,-0.997,0.3606,0.4242,0.4766,-0.6313,0.6814,0.7786,-0.9472,2.2475,0.2258,1.0774,0.2642,0.5282,-1.5298,0.922,0.0085,0.9184,0.5156,0.7712,-0.1397,0.9746,0.0764,0.1652,-0.1545,0.8436,1.0321,0.7597,-0.8974
VIP,499322777,-0.052,0.0943,0.0874,0.8547,0.2048,0.6647,1.4927,-1.13,0.1833,-0.3859,0.6347,-0.5988,0.2098,1.2392,0,2.9863,0.3167,0.7537,0.4825,0.5784,-0.8871,1.2482,0.3745,0.8157,-0.3119,0.8524,0.4872,2.0606,0.8078,0.1899,-2.0401,0.8808,0.1152,0.1897,0.2894
GRIK2,499322119,0.0975,0.5905,0.4914,-0.0089,0.3867,0.189,0.8986,-0.1111,0.1067,0.2654,0.3982,-0.1167,1.221,0.5341,0.2343,0.7195,0.4011,1.1855,-0.0621,-0.2067,0.6296,0.0344,0.3374,0.6993,0.7117,0.3115,-0.107,0.7321,0.024,0.5682,0.163,0.681,-0.1032,0.9962,-0.4397
ATP1A2,499307767,-0.3016,-0.5533,-1.7513,0.1746,0.0519,1.4515,-0.3017,-0.2791,-3.7276,1.5312,0.1322,1.4096,0.4481,0.3461,-1.4308,-1.211,-0.1805,0.2322,0.066,-1.3182,0.5991,1.5608,0.3709,-0.4658,-1.3663,-1.0432,-0.7108,-0.2532,0.2956,-0.7962,-0.2389,-0.1662,0.301,1.1109,0.0046
DCX,499353886,0.8901,1.2718,0.513,1.0312,0.4396,0.3298,1.3044,0.5747,1.1668,0.1905,0.1312,-0.3871,1.3093,1.3516,0.4647,1.8741,1.1928,0.7129,1.1735,0.3279,0.1567,1.4824,1.0332,0.6395,1.1391,1.3326,0.5534,1.0786,0.9187,1.0721,-0.0146,1.0103,0.5178,0.5908,0.2724
LGI2,499316139,2.1069,1.6975,0.3503,0.5422,0.2795,-0.2777,0.8599,0.4337,1.0297,1.099,1.1107,0.5738,0.3008,-1.1253,-1.0995,4.169,-1.1604,0.7798,2.3588,1.3415,-0.7343,1.2548,0.5932,0.4897,0.3466,1.1617,0.8112,0.9002,0.8801,0.3756,0.5199,0.9562,1.2524,0.6751,1.2666
LGI1,499331165,-0.0609,0.4372,-0.4577,0.6357,0.739,-0.0212,0.0671,0.0859,-0.7365,0.3171,0.3521,0.4619,-0.0294,0.2524,0.3411,1.002,-0.1752,0.2827,0.8204,-0.1486,-1.1932,0.0846,-0.033,0.4448,0.1261,0.2775,1.0269,0.5691,-0.0313,0.5855,-0.2781,0.1433,0.2632,-0.1098,0.4433
ABAT,499342332,0.3537,0.6697,-0.129,0.9472,1.2829,0.7976,1.0567,0.4282,0.099,1.0281,0.5007,0.6376,0.3358,1.0101,0.8812,1.3625,0.899,0.306,1.3204,0.104,0.0991,1.3383,0.7677,1.0136,0.481,0.8416,0.9089,0.6895,1.0579,1.702,-0.4551,0.8886,0.6971,0.7102,-0.038
GRM7,499313027,0.4907,0.8154,-0.2164,-0.0797,0.911,0.402,0.5256,0.2365,0.1627,0.8165,0.6944,0.3626,0.4556,0.4234,-0.0222,1.0759,-0.0852,0.7027,0.5263,0.3821,0.4689,0.6625,-0.2095,0.3368,0.5874,0.3504,0.5106,0.4667,0.0332,0.4253,-0.2389,0.489,0.663,0.7083,0.4484
KCNV1,499327226,1.0161,0.9423,0.526,0.8002,0.8079,0.2169,0.7951,1.0132,0.612,0.4612,0.7854,0.6643,0.3767,0.9194,0.0931,1.3364,0.8795,0.3864,1.136,0.3671,0.3363,0.8268,0.5378,0.3488,0.9859,1.6274,0.4493,0.742,0.7437,1.0542,-0.1071,0.8716,0.6195,0.6206,0.2851
GRIA2,499317616,0.5403,0.4044,-0.0102,-0.013,0.6934,0.107,0.5355,0.3257,0.3486,0.1604,-0.0335,-0.0528,0.3217,0.3697,-0.4014,1.4371,0.4448,-0.0159,0.631,0.1806,0.0803,0.3058,0.068,0.4064,0.6614,0.7147,0.2341,0.6362,0.2144,0.3572,-0.0686,0.4548,0.0204,0.4881,0.2125
HOMER1,499318917,0.6033,0.5894,0.6337,0.4801,0.475,0.4152,0.9462,0.3721,0.2536,0.0975,0.4502,1.1633,-0.2735,1.0631,-1.3126,2.2937,0.1302,0.3708,0.9311,0.748,-0.3263,1.132,-0.0576,0.4241,0.3711,0.9181,0.6643,0.518,0.4323,0.7965,0.1422,0.9692,1.1159,-0.0215,0.4416
ARHGEF9,499353348,0.4481,0.5161,0.0826,-0.0717,0.6294,0.0525,0.5045,0.4019,0.1574,0.2657,0.2216,0.1455,0.2954,0.3569,-0.3399,1.0466,0.4387,0.4217,0.6055,0.0401,0.0041,0.5049,0.0989,0.2475,0.5069,0.5363,0.1781,0.5767,0.2025,0.6001,-0.0345,0.4514,0.0211,0.2756,0.0144
KCNQ3,499327431,0.7271,0.7917,0.3841,0.237,0.8081,0.1345,0.5685,0.665,0.408,0.6253,0.6403,0.7044,0.365,0.5223,0.0661,0.7199,0.5705,0.5337,0.5982,0.1145,0.2767,0.6475,0.2079,0.3422,0.9204,1.1129,0.5871,0.468,0.6479,0.9259,-0.0763,0.6319,0.3489,0.6072,0.1719
TSC1,499329555,0.5197,1.2173,-0.6087,0.684,2.6029,-0.7728,0.4102,1.1684,0.8664,-0.5072,0.2567,0.2431,1.0304,0.4181,1.0299,1.5103,0.2176,1.3433,1.2837,-0.1954,-0.4143,0.6016,0.8307,1.2475,-0.1599,0.7795,1.4144,1.0742,0.8839,1.2721,-0.125,0.8989,-0.0457,0.1522,0.3328
