epilepsy genes,gene id ,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
SLC1A2,499332594,0.2471,-0.2525,1.3027,-0.3604,0.4078,0.4282,0.622,0.8285,0.7475,0.1474,0.6696,0.2957,-0.0897,1.6538,0.5715,0.1267,0.9189,0.7439,0.511,0.0484,0.5634,0.4714,0.3829,1.4569,0.7466,0.0789,0.8837,0.0839,0.7351,-0.2554,0.9245,0.8969,0.7417,0.324,0.1789,0.1664,1.0414,0.3095,0.7559,0.0804,0.2512,0.7699,1.1439,0.9654,0.0123,1.2025,0.5112,-0.1831,0.4694,1.1295,0.6719,0.9269,0.4386,0.3212,-0.0202,-0.0525
SLC1A3,499318380,-0.1582,-0.1574,0.5057,-0.58,0.5777,1.0794,0.5907,-0.0117,0.5286,0.3125,0.1063,1.1275,0.2568,-0.1036,-0.0083,0.3802,0.5258,0.3866,-0.552,0.1349,-0.0441,0.3435,0.0682,1.4879,1.8817,0.1358,1.7212,0.0939,0.9649,-0.6961,-0.318,0.9145,0.0751,-0.4172,0.4662,0.2529,0.8883,0.0662,0.3696,-0.3861,2.211,0.1641,0.3146,0.4381,-0.6605,0.3711,-0.5383,0.2207,1.1184,0.2485,1.4787,-0.0252,-0.2814,0.7089,0.1274,-0.1274
GRIK1,499351035,0.7491,0.0867,0.5623,0.3862,-0.1841,0.4517,0.8083,0.4143,0.5605,-0.4958,0.793,-1.4276,0.8004,0.6963,0.5308,0.6702,0.8665,0.5424,0.3291,0.0392,0.6007,0.614,0.5588,0.5779,0.0504,0.4407,0.4207,-0.2979,0.5339,0.4899,0.6103,0.8352,0.4453,-0.035,0.6035,-0.2643,0.6286,-0.4607,0.5793,0.2776,0.3919,-0.0536,0.6738,-0.0859,-0.3132,0.228,1.2276,-0.4674,1.4613,0.541,0.7044,0.7624,0.2038,0.4076,-0.0331,0.1168
VIP,499322777,0.5495,0.4821,0.3056,0.6153,0.3609,0.5327,0.9699,0.67,0.3473,-0.2303,0.5551,-0.9343,0.8618,0.7572,0.5001,1.003,0.8764,0.4346,-0.3474,0.9211,0.9753,0.5733,1.0585,0.9774,0.3453,0.6347,0.6379,0.3569,0.3241,0.9327,0.3237,0.7617,1.0459,-0.4631,1.088,0.2499,0.3113,0.0746,0.2647,-0.3941,-1.0838,1.1507,0.8067,0.2263,0.0321,0.56,0.8036,-0.286,1.1258,0.4582,0.0808,1.1743,0.2805,0.5702,0.143,0.8785
GRIK2,499322119,0.7497,-0.0416,0.9593,0.2923,-0.1158,0.3255,0.9341,0.4188,0.159,0.2658,0.0199,-0.3915,0.6493,0.4991,0.807,0.4085,0.4814,0.392,0.4953,-0.2648,0.3433,0.8261,0.2127,0.6801,0.2662,0.2324,0.4082,-0.0897,0.3736,0.6828,0.2688,0.5144,0.648,0.4292,0.869,-0.1691,0.6431,-0.2918,0.3171,0.3587,0.1982,0.0138,0.7085,0.0958,-0.2255,0.7409,1.1126,0.2539,0.2684,0.4381,0.825,0.4687,0.2002,0.5454,-0.0495,0.2421
ATP1A2,499307767,-1.4273,-0.2926,0.5117,0.2943,-1.1211,0.0784,0.1554,-1.0761,0.4121,-0.2848,-0.844,-0.9451,0.7418,0.2413,0.5386,0.0186,0.5197,0.7502,-0.4571,-1.1986,-1.1536,-0.5502,-0.2676,2.2222,1.126,-0.4646,0.576,0.1308,-0.924,-1.1102,-0.4599,1.5071,-0.4954,-0.1675,0.6191,0.3043,0.1243,-1.2564,0.1763,-1.1979,-0.5018,-0.2404,0.3682,0.8368,-0.9531,0.8939,0.0418,-0.0704,-0.8193,0.0887,0.8934,-0.2821,0.1885,0.1616,-0.4811,-1.5748
DCX,499353886,1.2914,1.2837,1.0726,0.9605,0.0388,0.3339,0.5481,1.8537,0.3205,1.3823,1.0165,-0.9571,1.004,1.4159,0.9485,0.7948,0.6992,0.8133,0.6743,0.5411,1.2001,0.4013,1.0212,1.2479,0.542,0.5065,1.073,0.7293,0.1837,1.4282,0.9644,1.0357,1.0375,0.4832,0.9871,0.8414,0.7661,0.9263,0.6784,0.554,0.0574,0.4151,1.4346,0.9592,0.5663,0.8643,0.3336,0.9827,0.8477,1.2355,0.3315,1.1596,0.7178,0.9197,0.6222,0.8439
LGI2,499316139,1.1953,0.581,0.7295,0.4332,0.6509,1.5095,0.6755,1.2587,1.0438,0.3718,0.1661,1.0209,0.9228,0.2571,0.3243,1.0073,0.8225,2.0515,0.8266,1.8132,0.8106,0.4873,0.5836,0.8936,1.1208,0.849,1.5765,-0.1551,0.3083,0.8805,1.7716,1.0536,0.9984,0.1852,0.4391,-0.3241,0.7928,0.7371,2.1849,0.8632,1.1382,-0.9829,1.2723,1.4141,0.879,1.15,0.9109,0.0709,1.0316,1.5711,1.2091,1.6,0.6007,0.2496,0.2798,0.3255
LGI1,499331165,0.0554,0.6014,-0.1387,-0.3359,0.5649,0.5586,0.3057,0.2646,-0.2533,-0.1126,0.7807,0.2528,-0.8794,0.2243,-0.1941,0.4282,0.2173,0.7351,0.431,0.3093,0.0636,0.0602,0.3409,0.1321,0.7026,0.4917,0.7054,0.0727,-0.0005,0.2931,-0.267,-0.0778,0.5283,0.0715,-0.121,0.4111,-0.0014,1.2376,-0.0516,-0.8431,0.6177,-0.2772,-0.2476,-0.1025,0.4188,-0.1826,0.6306,0.1003,0.8481,-0.2842,0.8337,-0.077,-0.1874,0.2615,-0.0551,0.809
