,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ARC,499327522,0.6981,0.2712,1.3592,1.1165,0.77,0.8712,0.6428,0.8756,0.8306,1.3831,0.2921,0.103,0.3173,1.6731,0.6975,1.147,0.5897,1.2779,1.0252,0.4986,1.0219,0.3794,0.0607,1.0009,0.4734,0.6781,1.0676,0.5332,1.282,-0.6281,0.917,0.8208,0.0318,0.1299,-0.2989
VIP,499322777,0.3969,-0.1702,1.0101,-0.7829,0.492,0.315,0.8724,0.9567,-1.3744,0.2618,0.0759,-0.0232,0.6116,1.3392,1.2354,1.0329,0.272,0.271,0.0708,-1.2593,1.8664,-0.2895,0.0054,0.2466,1.6764,-0.7037,0.7441,0.4515,0.5179,0.2655,-0.1256,0.4933,-1.7848,0.3526,0.2129
GRIA1,499319908,1.5034,1.3441,1.6482,1.0718,1.4645,1.2918,0.9728,1.3354,0.6913,1.0266,1.3943,1.0431,1.4041,1.8918,1.5926,1.67,1.2314,1.387,1.4293,1.1163,1.3484,1.5152,0.9005,1.1318,0.7404,1.0483,1.4188,1.487,1.7719,0.9205,1.4822,1.5064,0.5754,1.4967,1.0536
KCNQ2,499350684,1.0807,0.5123,0.9304,0.7977,0.5514,0.5651,0.454,0.8691,1.1793,0.9132,0.7626,0.4387,0.4518,1.0308,0.1277,0.741,0.5646,1.0741,0.8472,0.4069,0.7196,0.5314,-0.0032,1.0154,-0.0005,0.392,0.3523,0.7962,1.7333,0.3021,1.2442,0.8729,0.6764,1.0707,0.4147
HOMER1,499318917,0.257,-0.216,0.4396,-0.2729,0.1022,-0.0657,-0.5024,0.3534,-1.2122,-0.567,-0.2663,-0.4585,0.2921,1.2759,0.3373,0.0385,0.0359,0.063,-0.0166,-0.3905,1.0241,-0.9868,-0.3783,0.1765,-0.047,-0.4023,0.337,0.1806,0.4219,-0.4578,0.2549,-0.1949,-0.4995,-0.781,-0.559
KCNK9,499327481,-0.5679,-1.986,-0.2445,-0.8071,-0.616,-0.5876,-0.6685,-0.9078,-1.0655,-0.2334,-0.2827,-0.6195,-2.0877,-0.5594,-0.8744,-0.5875,0.1182,-1.6401,-1.0255,-0.7628,-0.311,-0.8811,-1.1341,-1.1489,-0.7384,-2.2393,-0.0527,-0.9487,-0.479,-1.0398,-0.5402,-1.2626,-1.4221,-1.6329,-1.686
GRIK2,499322119,0.689,0.8728,0.6555,0.3912,-0.162,0.8243,-0.0405,0.9493,-0.3331,-0.4736,0.4958,0.95,1.1322,0.7787,0.8591,1.5794,0.4765,0.1226,0.7294,0.5151,0.7485,-0.1978,0.7955,0.1855,0.547,0.5585,-0.4257,1.1988,1.1857,-0.6253,0.4746,0.408,0.2575,1.0774,0.5706
KCNV1,499327226,-0.0605,-0.1737,-0.4481,-0.4314,-0.4711,-0.8604,-1.0166,-0.7633,-1.0037,-0.8883,-0.7757,-0.7249,0.0842,-0.1651,-0.3287,0.0017,-0.3258,-0.6369,-0.5462,-1.287,-0.0997,-1.5473,-0.3876,-0.5829,-0.8489,-0.5675,-0.4096,-0.0746,-0.3469,-0.8778,0.2291,-0.5627,-0.6377,-0.4711,-0.7635
SLC1A2,499332594,0.2835,0.4911,-0.8964,-0.4031,-0.0176,0.4895,-0.2075,0.51,-1.4081,-1.16,0.9097,0.2662,0.7749,0.5612,-0.6753,-1.4518,-0.1407,-0.7144,0.8928,0.1999,0.9634,-0.1653,0.1588,0.2457,-0.387,0.2985,-0.4148,0.3382,0.3798,-0.0303,-0.8254,0.2273,-0.0965,0.9035,-0.5546
CHRNB2,499307542,0.8598,0.8246,0.5927,0.5557,0.6356,0.5806,0.1906,0.8333,0.4236,0.2582,0.9644,0.7154,0.9279,0.9707,0.0634,0.4779,0.5271,0.5556,1.0653,0.5661,1.3233,0.1444,0.3716,0.3556,0.0296,0.8465,0.1836,0.3766,1.5007,-0.1374,0.7869,0.7385,0.3752,1.0739,0.4804
GRIA2,499317616,0.9702,1.0953,1.0419,-0.047,0.8183,0.6926,0.2063,0.5226,-0.0835,0.03,0.5247,0.4231,0.7023,1.7396,1.014,1.2973,0.7201,-0.0057,0.6758,0.1853,1.1823,0.4436,0.6503,0.4057,0.3819,0.0747,0.6768,1.306,1.1285,0.0683,0.8339,0.9037,-0.8911,0.853,0.3774
KCNQ3,499327431,0.1238,0.0398,0.6217,0.2842,0.1534,0.1915,-0.5618,-0.0044,-0.5545,-0.2862,0.2338,-0.1577,0.5086,0.6412,0.2389,0.8461,-0.4275,0.3293,0.0963,-0.2726,0.5213,-0.5389,0.1283,0.2601,0.2322,-0.09,0.1906,0.2527,0.404,-0.5869,0.6056,-0.0992,-0.9389,0.3204,-0.5606
GRIK1,499351035,-0.3484,-0.0178,1.3458,0.7667,1.1163,0.7114,1.1254,0.8262,-0.2487,-0.3233,-0.1301,1.7802,0.1059,0.5631,2.293,0.4248,0.5141,1.1717,-0.0476,1.5392,0.791,1.3743,0.1017,0.2676,2.5584,-1.4598,0.1012,0.4261,1.3748,0.6977,-0.3456,0.2444,-0.6576,0.0481,0.7007
ARHGEF9,499353348,0.7891,0.9704,0.9983,0.3175,0.7918,0.6898,0.1813,0.4572,0.0313,0.176,0.5768,0.3343,0.8584,1.4083,0.9516,1.3618,0.5466,0.6199,0.8715,0.4453,0.8292,0.0317,0.2777,0.5244,0.3266,0.3948,0.7433,0.8689,1.0869,-0.0101,0.9917,0.6647,-0.6838,0.9553,0.3666
GRIA3,499354037,0.7362,0.756,1.2667,0.0231,0.8826,0.4463,0.0183,0.5332,-0.3588,-0.091,0.6737,0.5289,0.3674,1.5326,1.1371,0.9785,0.5209,0.2883,0.4192,0.2132,1.1451,1.0487,0.1645,0.2335,0.5304,-0.0907,0.582,0.9018,1.2931,-0.2309,0.8191,0.7583,-0.7171,0.6092,0.2802
SLC25A22,499331881,1.1919,0.9832,1.1848,0.8595,0.555,0.7,0.5789,0.5223,1.3873,0.8187,0.8131,0.4807,0.7692,1.1847,0.178,1.2622,0.806,1.3023,1.2465,0.4597,0.518,0.0551,0.145,0.9876,0.1804,0.7937,0.4363,0.5907,1.6541,0.2136,1.2149,1.029,0.1645,1.3122,0.7824
