,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
ARC,499327522,2.9044,0.1371,-0.1116,0.946,0.7956,0.4764,1.1005,0.846,1.328,0.6426,0.2822,0.5411,0.717,0.6291,0.4005,0.3463,1.2367,1.0425,0.7234,1.7897,0.7833,-0.5317,0.8401,0.5004,0.3052,2.5053,0.0067,0.3836,-0.8791,0,0,0,0,-0.3098,4.525,0,0,0.0213,1.9986,1.1785,-0.3187,0.8801,0.942,-0.0175,0.8936,0.5906,2.0923,0.2725,0.2779,-0.3475,0.9859
VIP,499322777,-0.3488,-1.002,0.3093,0.5176,2.7696,0.3229,0.65,0.3152,1.1314,0.5243,0.2249,0.8438,0.3876,-0.9977,0.0395,0.325,0.4844,0.8139,-0.0908,1.3601,0.6462,0.4429,0.9752,-0.1342,1.1938,0.0814,0.3154,0.3689,0.0457,1.1532,0.8582,-0.5813,0.5906,-0.445,0.4751,0.362,-0.4936,-0.092,-0.3754,0.3061,1.1276,-0.2568,1.1137,0.4793,0.7388,0.6979,0.9384,0.6274,0.0964,0.1391,-0.2981
GRIA1,499319908,0.9071,1.2269,1.2055,1.8242,2.0462,1.2384,1.4767,1.3254,1.5269,1.4519,1.5834,0.9709,1.157,1.1211,0.6846,1.1293,1.458,1.5857,1.5925,1.3514,1.5619,1.2465,1.6342,0.9151,1.3107,1.5769,1.548,1.3747,0.8269,1.2126,1.3108,0.7253,0.7964,1.4958,1.461,1.6491,1.5086,0.961,1.0814,1.4819,1.3253,1.3401,1.4829,1.5955,1.4688,1.25,1.9484,1.5656,1.1898,0.8568,0.7198
KCNQ2,499350684,0.263,0.6414,0.738,0.9733,0.7458,0.8315,0.9397,0.7309,1.0421,0.6747,0.7714,-0.092,0.3086,0.9012,0.7285,0.7376,1.2416,0.22,0.7997,0.973,0.2496,0.0641,0.6938,0.6055,0.9737,1.137,0.9353,0.6562,-0.1264,0.7179,0.7317,-0.046,0.1348,1.2694,1.1845,1.1065,0.2227,0.4696,0.9425,1.1452,0.2364,0.7803,0.6723,0.4562,0.9138,0.9562,1.0134,0.8029,0.7638,-0.0821,0.5489
HOMER1,499318917,1.1337,-0.4554,-0.6733,0.6534,0.7594,0.0031,0.0716,0.0144,0.5009,-0.102,0.2709,-0.3227,-0.4079,-0.0007,-0.5543,-0.491,0.7255,-0.0749,0.0643,0.3077,0.5381,-0.1139,0.5915,-0.177,-0.4747,1.002,0.0303,-0.3086,-1.0117,-0.3771,-0.253,-1.6153,-1.1638,0.3311,2.7632,-0.6034,-1.4103,-0.8107,-0.3784,0.6247,0.3169,0.0875,0.1321,-0.0373,-0.8197,-0.0528,1.6505,-0.0645,-0.8107,-0.8469,0.0709
KCNK9,499327481,0.4635,-0.9912,-2.4538,-0.4417,0.5808,-0.6089,-0.9342,-0.2526,0.2433,-0.7145,-2.164,-0.8682,-1.1152,-0.5742,-1.5541,-1.0881,-2.3935,-0.7405,-1.1203,-0.4077,0.2728,-1.4658,-0.16,-0.384,-0.7122,-0.6419,-0.8677,-1.0173,-1.8326,-0.5391,-0.3948,-3.1756,-1.3982,-2.7502,1.6993,-0.9679,-2.5092,-0.6171,-1.4213,-0.3354,-0.33,-1.3955,-0.6291,-1.3944,-1.0804,-0.2644,-0.3773,-0.9414,-0.6131,-1.5468,-0.6971
GRIK2,499322119,-0.0504,0.5563,0.7828,1.2546,0.7206,0.6017,0.4746,0.1318,0.6441,0.7433,0.9716,0.0529,0.1437,0.6207,0.8256,0.6034,0.7445,0.5716,0.362,0.8924,-0.103,0.2506,0.9719,-0.5977,0.6522,0.6613,1.3951,0.5522,-0.3313,0.9763,1.2016,-0.3125,0.3601,0.7705,0.3646,0.5228,0.9598,0.0341,0.2965,0.5893,1.3185,0.6531,0.6201,0.2037,0.3772,0.8342,1.0149,0.7131,0.0649,0.5483,0.1666
KCNV1,499327226,-0.5021,-1.1248,-0.7423,0.0275,-0.5956,-0.373,-0.5756,-0.7128,-0.7612,-0.5721,0.2855,-1.0803,-0.8113,-0.5789,-0.5456,-0.9435,-0.0411,-0.4346,-0.1539,-0.7212,-0.7223,-0.2914,-0.0747,-0.8278,-0.8519,0.1248,-0.4185,-0.4911,-1.4276,-0.4698,-0.4935,-0.8182,-1.2062,-0.1147,0.5597,-0.9469,-1.2066,-0.4298,-1.1655,-0.5217,-0.6976,-0.5091,-0.2785,-0.2166,-1.1981,-0.1326,-0.2187,-0.2842,-0.9431,-0.6208,-0.3727
SLC1A2,499332594,-0.4647,0.2761,0.3806,0.2579,0.3898,-0.5362,-0.1382,-0.4529,0.02,0.9078,0.2509,-0.2677,0.347,0.3467,0.3468,-0.3762,0.1009,0.2854,0.1724,0.2698,0.1178,0.3475,0.3677,0.2962,0.3518,-0.9464,0.4342,-0.0436,-0.1938,0.6343,-0.3326,-0.0282,0.3358,-0.2918,-0.2915,0.0379,0.2643,-0.9622,0.5846,0.8362,1.2262,-0.7872,-0.6261,0.1516,0.5464,0.3628,0.5314,0.3173,-0.2048,-0.5828,-0.8217
