,,DONAR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
LRRC1,499321699,2.7698,-0.6779,2.5381,0.1752,0.1892,1.4703,0.4308,1.7264,1.0419,1.2942,1.4302,2.5027,-0.1808,2.1279,-0.1487,0.5151,2.2627,0.3791,1.4327,2.2071,1.9633,2.5508,-0.6869,1.2838,1.4863,2.5067,1.1318,2.0127,-0.542,0.7207,2.0024,2.3044,0.2381,1.1294,1.4744
NOS1,499336673,0.1091,1.3984,-1.7886,1.4421,-0.3331,1.5582,-0.9922,1.032,-0.3693,-0.5331,2.6064,-0.756,0.5941,1.5422,0.7404,-0.3744,-0.1885,0.5815,3.7326,0.0018,-0.9609,0.2212,0.9915,0.2903,0.0902,2.2092,0.2794,0.7822,0.8152,-2.6637,-0.8493,0.513,1.3718,-0.0512,-1.6226
ARHGEF10,499325679,2.4473,0.1174,2.2684,0.6653,0.3628,1.0217,0.4253,1.3376,1.3511,1.7726,1.1486,2.233,-0.0845,1.5387,0.1873,0.0066,2.2157,0.6849,2.4452,1.5129,1.2719,2.0882,-0.5892,0.3538,1.7811,1.9218,1.2182,2.2621,1.1058,-0.3538,1.4522,2.0428,0.2973,0.8027,2.3971
LGI3,499326069,1.6349,0.5795,1.6079,0.1662,0.0776,1.1015,0.784,1.0546,1.3276,0.8897,0.8543,2.1309,-0.9235,0.4531,0.3426,0.6235,1.1213,1.0329,0.7651,0.6778,1.792,1.3095,0.6452,0.9885,0.865,1.5918,1.2302,1.2833,0.5045,0.4386,0.5088,1.1425,0.9778,0.8368,1.0793
CLN8,499325674,2.6939,0.4008,2.1474,-0.3893,0.5835,1.3126,0.6114,1.9258,1.8621,1.3516,1.4369,2.0857,-1.4756,1.3916,0.084,0.5548,1.7245,0.7992,1.6487,1.1556,2.6301,2.1633,0.0719,0.6593,1.7214,2.0494,1.4048,2.1212,0.5412,0.153,1.4958,1.389,0.2971,0.5183,1.2024
CLCN2,499315462,1.8539,-0.3071,2.7802,0.478,0.5753,1.1156,0.8099,1.4916,0.9459,1.3081,1.4052,2.6614,-0.6064,0.959,0.1361,-0.2573,1.5334,1.7328,1.7697,1.3417,1.2346,2.4047,-0.7597,1.0158,0.9417,2.8594,0.5513,2.276,-0.0175,0.5114,1.9451,1.928,-0.1116,0.6359,1.1801
GRM3,499324363,3.0113,0.7648,1.2994,-0.1762,0.5008,1.5329,-0.0564,1.2413,0.6945,1.7644,2.2259,1.8606,0.6094,1.6372,-0.0028,0.3676,1.9766,0.7963,1.5944,2.0867,2.2394,1.9391,-0.5569,1.515,0.8077,1.6299,1.3036,3.4,0.5514,0.7621,0.2242,1.0824,1.2391,1.2806,1.9222
GABRE,499354400,1.8439,-0.1978,-0.1285,1.1627,0.2404,0.29,-1.1155,1.4824,1.2325,0.1883,-0.4995,0.871,0.0998,1.6916,0.2863,0.1779,0.1767,1.487,0.6654,0.4677,1.7088,0.5457,1.3848,-1.1554,-0.2404,3.7257,-1.0498,-1.9915,-2.248,0.302,1.1448,0.2671,0.2041,0.7066,0.819
ATP10A,499340541,0.1505,-0.637,0.3122,1.9937,0.2511,-3.9755,-0.3226,1.5426,0.917,-0.8046,-0.9778,-0.0709,-0.8842,0.0867,-0.2878,-0.1361,-0.2074,0.054,1.8419,0.073,-1.4893,-0.5145,0.0357,0.0712,1.6752,-2.8045,0.66,0.0762,-0.0137,0.7026,-0.4799,-0.833,0.4516,-0.5103,0.4748
